,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers,year
13,Los Angeles Dodgers,3857500,47043,28.1,29.2,98,96,0,3,19,"$164,703,429 ",3:13,39,18,46%,Roberts,2018
14,Miami Marlins,811104,10014,27.5,27.6,94,95,0,1,6,"$86,515,143 ",3:02,41,22,53%,Mattingly,2018
15,Milwaukee Brewers,2850875,35196,28.9,28.8,102,101,0,5,18,"$109,295,700 ",3:07,34,7,20%,Counsell,2018
16,Minnesota Twins,1959197,24188,28.2,28.5,101,100,0,1,17,"$110,275,000 ",3:10,45,21,46%,Molitor,2018
17,New York Mets,2224995,27469,28.4,28.0,92,92,0,1,19,"$161,403,844 ",3:01,29,15,51%,Callaway,2018
18,New York Yankees,3482855,42998,27.2,28.8,100,98,0,4,16,"$160,643,032 ",3:11,35,26,74%,Boone,2018
19,Oakland Athletics,1573616,19427,28.0,29.2,97,97,0,2,14,"$69,883,333 ",3:05,42,21,50%,Melvin,2018
20,Philadelphia Phillies,2158124,26644,26.7,26.8,102,102,0,1,8,"$93,874,333 ",3:10,44,27,61%,Kapler,2018
21,Pittsburgh Pirates,1465316,18316,27.8,26.5,96,97,0,1,12,"$88,141,000 ",3:04,48,23,47%,Hurdle,2018
22,San Diego Padres,2168536,26772,26.9,27.7,93,95,0,1,6,"$93,821,067 ",3:00,44,19,43%,Green,2018
23,Seattle Mariners,2299489,28389,29.8,29.0,94,95,0,4,14,"$157,090,065 ",2:58,37,13,35%,Servais,2018
24,San Francisco Giants,3156185,38965,29.8,28.6,93,94,0,2,14,"$202,060,277 ",3:01,31,23,74%,Bochy,2018
25,St. Louis Cardinals,3403587,42020,28.1,26.7,97,96,0,2,14,"$157,713,667 ",3:10,47,18,38%,Matheny and Shildt,2018
26,Tampa Bay Rays,1154973,14259,27.1,27.1,97,96,0,2,13,"$46,569,867 ",3:01,54,26,48%,Cash,2018
27,Texas Rangers,2107107,26014,27.4,30.4,110,111,0,1,11,"$106,099,628 ",3:04,42,17,40%,Banister and Wakamatsu,2018
28,Toronto Blue Jays,2325281,28707,29.0,29.3,98,99,0,1,13,"$151,670,772 ",2:59,39,18,46%,Gibbons,2018
29,Washington Nationals,2529604,31230,27.5,30.2,106,105,0,3,16,"$188,886,699 ",3:07,40,21,52%,Martinez,2018
0,Arizona Diamondbacks,"2,134,375","26,350",28.3,28.7,108,108,0,4,11,"$106,580,200 ",3:09,32,16,50%,Lovullo,2017
1,Atlanta Braves,"2,505,252","30,929",28.6,29.4,100,100,0,1,14,"$119,705,250 ",3:04,47,19,40%,Snitker,2017
2,Baltimore Orioles,"2,028,424","25,042",28.6,28.2,97,99,0,1,16,"$161,621,633 ",3:09,26,17,65%,Showalter,2017
3,Boston Red Sox,"2,917,678","36,021",27.3,28.4,105,104,0,3,18,"$200,550,750 ",3:20,43,16,37%,Farrell,2017
4,Chicago Cubs,"3,199,562","39,501",27.1,30.8,103,101,0,1,18,"$177,210,667 ",3:09,53,28,52%,Maddon,2017
5,Chicago White Sox,"1,629,470","20,117",26.7,28.7,97,98,0,1,13,"$97,842,000 ",3:10,35,17,48%,Renteria,2017
6,Cincinnati Reds,"1,836,917","22,678",27.2,27.6,101,103,0,2,10,"$79,315,786 ",3:03,38,19,50%,Price,2017
7,Cleveland Indians,"2,048,138","25,286",28.1,28.9,106,104,0,5,13,"$114,427,167 ",3:06,32,15,46%,Francona,2017
